time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-30T16:10:45.410Z,-8.8919,116.8008,127.07,4.6,mb,,73,2.652,1.36,us,us1000dbga,2018-06-22T21:32:16.040Z,"4km SW of Besisora, Indonesia",earthquake,8.2,7.9,0.109,25,reviewed,us,us
2017-08-13T05:31:47.000Z,-7.6158,115.9465,304.1,4.8,mb,,46,1.969,0.97,us,us2000a7rf,2017-11-14T01:42:05.040Z,"78km NNW of Lokokrangan, Indonesia",earthquake,7.7,5.1,0.06,86,reviewed,us,us
2015-12-09T11:34:17.670Z,-8.1556,116.0983,209.93,4.8,mb,,49,1.951,1.13,us,us20004fu7,2016-03-02T03:36:41.040Z,"20km WNW of Lokokrangan, Indonesia",earthquake,5.5,5.8,0.069,65,reviewed,us,us
2015-08-06T05:05:49.930Z,-9.7758,115.9399,35.19,5.3,mb,,29,2.19,0.93,us,us10002z14,2015-11-06T18:06:19.040Z,"104km SSW of Kute, Indonesia",earthquake,5.3,4.3,0.058,100,reviewed,us,us
2015-07-12T15:22:18.100Z,-8.6391,116.2298,112.47,4.6,mb,,42,2.061,0.78,us,us20002wy9,2015-10-09T20:19:14.040Z,"3km SSE of Sintung Timur, Indonesia",earthquake,8,5.7,0.084,42,reviewed,us,us
2014-10-06T09:33:07.260Z,-7.8471,116.6862,275.7,4.5,mb,,57,2.584,0.95,us,usb000sj4j,2014-12-23T01:42:04.040Z,"48km NNE of Obelobel, Indonesia",earthquake,7.3,7,0.103,31,reviewed,us,us
2014-08-21T10:22:11.880Z,-8.358,116.1396,26.39,4.5,mb,,67,1.969,1.05,us,usb000s58v,2014-11-22T02:06:24.000Z,"0km NW of Prawira, Indonesia",earthquake,7.3,6.4,0.135,18,reviewed,us,us
2013-09-23T15:12:55.000Z,-9.8648,115.9595,39.88,5.2,mb,,30,2.259,1.14,us,usb000jxzt,2017-03-22T00:01:50.574Z,"113km SSW of Kute, Indonesia",earthquake,,4.4,0.067,,reviewed,us,us
2013-06-22T05:42:39.820Z,-8.305,116.058,46.5,5.1,mb,151,28,,1.17,us,usc000hxxs,2015-01-29T00:24:59.444Z,"11km NNW of Pemenang, Indonesia",earthquake,,4.9,,71,reviewed,us,us
2013-06-17T19:17:58.790Z,-7.763,115.856,260.1,5,mb,211,27,,0.82,us,usc000hszh,2014-11-07T01:51:05.483Z,"58km NNE of Baturinggit Kaja, Indonesia",earthquake,,4.5,,101,reviewed,us,us
2012-08-09T11:04:24.900Z,-8.718,116.363,107.2,5.3,mb,409,29,,0.9,us,usp000jq38,2015-03-24T01:31:58.479Z,"Lombok region, Indonesia",earthquake,,3.4,,81,reviewed,us,us
2012-02-21T10:46:54.550Z,-7.956,116.17,259.9,4.6,mb,37,77.6,,1.1,us,usp000jf66,2014-11-07T01:47:03.042Z,"Bali Sea",earthquake,,7,,15,reviewed,us,us
2011-11-04T14:59:53.640Z,-8.808,115.758,98.1,5,mb,79,28.2,,0.95,us,usp000jaax,2015-03-24T01:44:27.664Z,"Bali region, Indonesia",earthquake,,,,22,reviewed,us,us
2009-12-21T04:27:52.620Z,-8.524,116.808,146.7,4.5,mb,22,59.8,,1.18,us,usp000h580,2014-11-07T01:40:17.812Z,"Lombok region, Indonesia",earthquake,,12,,6,reviewed,us,us
2008-10-28T17:41:37.780Z,-8.433,116.245,55.8,4.8,mb,9,156.4,,0.38,us,usp000gm80,2014-11-07T01:37:33.181Z,"Lombok region, Indonesia",earthquake,,25.9,,2,reviewed,us,us
